block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
6,9600,dci_gated,17,text,0,0.7307779827700438,1.0,0.3336666136999422,0.7,0.6841025641025642,0.692043203047884,1,20,20,0,283.153,283.3,70.5964
6,9600,dci_gated,18,text,0,0.93791309931509,1.0,0.41290005652640493,1.0,0.6556410256410257,0.8154044399802074,0,20,20,0,268.276,268.467,74.497
6,9600,dci_gated,19,review,1,0.4280993759904028,1.0,0.006517987498671385,0.17692307692307693,0.7921794871794873,0.4625399799588735,1,20,20,0,28037.031,28037.394,0.7133
6,9600,dci_gated,20,review,0,0.8407084935135781,1.0,0.6928045458087204,0.75,0.7688461538461538,0.8140649556170617,0,20,20,0,513.598,513.827,38.9236
6,9600,dci_gated,21,review,0,0.822806684007135,1.0,0.7281311859481268,0.75,0.7334615384615384,0.8113471389606399,0,20,20,0,399.231,399.444,50.0696
6,9600,dci_gated,22,review,0,0.8331898386086923,1.0,0.7016977345627352,0.6944444444444444,0.6917948717948719,0.7912951262228398,0,20,20,0,289.718,289.911,68.9868
6,9600,dci_gated,23,review,0,0.8327200521956964,1.0,0.599486718128616,0.7444444444444445,0.7206410256410256,0.7850623994096901,0,20,20,0,354.708,354.934,56.3486
6,9600,dci_gated,24,review,0,0.8195737844781965,1.0,0.5004715703742532,0.875,0.8307692307692308,0.8046031448097843,0,20,20,0,406.09,406.279,49.2272
7,9700,dci_gated,1,edge,0,0.8104118170377956,1.0,0.7781655452093403,0.8,0.6905128205128206,0.8218129863782402,0,20,20,0,279.351,279.697,71.506
7,9700,dci_gated,2,edge,0,0.7964089930293148,1.0,0.5906755030697541,0.8,0.7356410256410257,0.7875835027174335,0,20,20,0,577.502,577.83,34.6123
7,9700,dci_gated,3,edge,0,0.7543515693752605,1.0,0.48127557598074955,0.7,0.7655128205128205,0.7396699306168881,1,20,20,0,204.145,204.423,97.8362
7,9700,dci_gated,4,edge,0,0.806470447561239,1.0,0.5335684912169671,0.8,0.7964102564102564,0.7877928485952417,0,20,20,0,657.085,657.361,30.4247
7,9700,dci_gated,5,edge,0,0.8263126016979032,1.0,0.608441439171205,0.8,0.7547435897435898,0.8014779767202552,0,20,20,0,402.356,402.625,49.674
7,9700,dci_gated,6,edge,0,0.7853077193918185,1.0,0.7198460599827285,0.75,0.756923076923077,0.803834603382962,0,20,20,0,335.974,336.205,59.4876
7,9700,dci_gated,7,geo,1,0.46684408630340646,1.0,0.009306206047734356,0.375,0.7387179487179487,0.5043799550930909,1,20,20,0,7709.196,7709.727,2.5941
7,9700,dci_gated,8,geo,0,0.7290263579905006,1.0,0.7151370854573854,0.5166666666666667,0.703846153846154,0.7341942629993587,0,20,20,0,2097.18,2097.619,9.5346
7,9700,dci_gated,9,geo,0,0.8085160254321678,1.0,0.7880875452872175,0.7333333333333334,0.7238461538461539,0.8149901051590753,0,20,20,0,1149.42,1149.831,17.3939
7,9700,dci_gated,10,geo,0,0.7859219568578937,1.0,0.6165533967816572,0.65,0.8237179487179488,0.7733488608784972,0,20,20,0,880.463,880.795,22.7068
7,9700,dci_gated,11,geo,0,0.818494960707198,1.0,0.4966983222958067,0.7166666666666667,0.7921794871794873,0.7661236610462172,1,20,20,0,872.511,872.867,22.913
7,9700,dci_gated,12,geo,0,0.8781439729184368,1.0,0.4695375129253365,0.875,0.711025641025641,0.7950973419685228,0,20,20,0,2793.028,2793.418,7.1597
