workload,config,seed,policy,n_windows,n_onsets,onsets_hit,recall,mean_lag,false_alarms,advisor_calls,frac_5d_windows,monitor_cost_ms_per_window
tpch,template_only,14,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,15,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,15,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,15,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,16,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,16,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,16,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,17,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,17,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,17,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,18,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,18,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,18,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,19,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,19,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,19,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,20,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,20,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,20,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,21,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,21,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,21,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,22,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,22,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,22,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,23,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,23,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,23,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,24,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,24,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,24,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,25,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,25,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,25,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,26,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,26,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,26,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,27,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,27,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,27,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,28,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,28,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,28,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,29,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,29,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,29,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,30,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,30,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,30,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,31,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,31,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,31,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,32,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,32,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,32,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,33,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,33,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,33,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,34,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,34,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,34,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,35,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,35,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,35,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,36,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
tpch,template_only,36,dci_gated,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,36,always_1D,41,6,6,1.0,0.0,0,6,0.04878048780487805,0.12287928998031117
tpch,template_only,37,always_5D,41,6,6,1.0,0.0,0,6,1.0,2.348561333337177
