workload,config,seed,dci,eff_rank,stable_rank,p1
tpch,template_only,36,1.0265842663071374,1.0799100710313005,1.0132620930757033,0.9869114879888116
tpch,template_only,37,1.017788714150449,1.0554975619979943,1.0088853830039037,0.9911928717041694
tpch,template_only,38,1.0054257990799988,1.0188744017013405,1.0027129195067561,0.9972944205126122
tpch,template_only,39,1.0119088927639694,1.041119386374196,1.0059457772806948,0.9940893660324638
tpch,template_only,40,1.011846686446365,1.0405258490183737,1.0059159304118597,0.994118861991342
tpch,template_only,41,1.0101887160508074,1.032354457499835,1.0050944902435102,0.9949313320359802
tpch,template_only,42,1.0431503032475755,1.1109749380989669,1.0215707901871953,0.9788846838668491
tpch,template_only,43,1.0377323454324057,1.1018727089469689,1.0188476720284139,0.9815009912218867
tpch,template_only,44,1.0104142186664065,1.032961677726166,1.0052072505263578,0.9948197244661424
tpch,template_only,45,1.037463846559736,1.09706695960945,1.0187353022079957,0.9816092539765834
tpch,template_only,46,1.0530853539997003,1.1333890883830415,1.026525157236,0.9741602462939914
tpch,template_only,47,1.0106232759494003,1.0343147991757742,1.0053108709057015,0.9947171854404432
tpch,template_only,48,1.007792816567606,1.0283186805572897,1.0038929691655483,0.9961221272734044
tpch,template_only,49,1.01802175688725,1.055564093357208,1.009003562716805,0.9910767780714645
tpch,volume_only,0,1.6683915095580857,1.8288449429779123,1.3801764422431195,0.7245450432227049
tpch,volume_only,1,1.4143338240531098,1.6285814446524765,1.2154168065909408,0.8227630180669032
tpch,volume_only,2,1.3913457496393296,1.590870361558837,1.2031184468434948,0.8311733583867847
tpch,volume_only,3,1.534528463539012,1.7097268401615262,1.2893149119972485,0.7756057040020756
tpch,volume_only,4,1.2867027260403903,1.484896656851123,1.145763729231167,0.8727802901135839
tpch,volume_only,5,1.5520592998709064,1.7490428588226754,1.2986259164483491,0.7700446967321659
tpch,volume_only,6,1.6121758387480858,1.7952446896420333,1.3384127194260125,0.7471536884593093
tpch,volume_only,7,1.0127570291603236,1.039144150764164,1.0063787741140056,0.9936616567458696
tpch,volume_only,8,1.4732974532000926,1.6611293483693683,1.251131820370896,0.7992762902501764
tpch,volume_only,9,1.289649287695839,1.4872646994703818,1.1473703097630719,0.8715581983348485
tpch,volume_only,10,1.7909116792728876,1.9106277482706642,1.4850177754089264,0.6733926129097223
tpch,volume_only,11,1.282905426251686,1.4801653784234663,1.1437659847506265,0.8743047208367789
tpch,volume_only,12,1.630548474972451,1.8076107665502372,1.351745679537974,0.7397841288768162
tpch,volume_only,13,1.6456013315569644,1.8182326499740675,1.36263709955295,0.7338711094304398
tpch,volume_only,14,1.6346620332332709,1.8126347200863917,1.3541430840239257,0.7384743989006198
tpch,volume_only,15,1.3744850312345303,1.5591127417997261,1.1943122803954769,0.8373019489248378
tpch,volume_only,16,1.6473399439118328,1.8225272806049102,1.3631916810076492,0.7335725517784969
tpch,volume_only,17,1.2791229051150088,1.4815125836287142,1.1415212502692345,0.8760239897103486
tpch,volume_only,18,1.5741430890334027,1.7556116443119605,1.3140292320653255,0.7610180775265174
tpch,volume_only,19,1.6663401862419636,1.8273230304002184,1.3786350434652463,0.7253551291474978
tpch,volume_only,20,1.2779109427424298,1.473084729260228,1.1411755858170742,0.8762893391940264
tpch,volume_only,21,1.5568125728400992,1.7425046490210305,1.3025576824189593,0.7677203194125851
tpch,volume_only,22,1.5300801385705878,1.7208069856821144,1.2854079484785355,0.7779631370598287
tpch,volume_only,23,1.014215388658822,1.0428891923297998,1.007108053441571,0.9929421143865539
